case,mode,avg_wall_ms,std_wall_ms,avg_cpu_ms,std_cpu_ms,avg_peak_mem_mb,std_peak_mem_mb,rows_out,prov_events
case_10_topk_in_memory_titles,baseline,2587.3876529997992,51.656014767843544,275.5476666666681,5.693011885930794,1.306018,0.014352307932872546,3,0.0
case_10_topk_in_memory_titles,prov,2612.6838750011907,50.313199645624195,271.26800000000156,3.7379238890071624,1.3497933333333334,0.005658547546264263,3,1.0
case_1_filter_reviews_sql,baseline,7889.876027669136,279.3166446659944,232.6046666666667,5.934034406146176,1.4367640000000002,0.06497369513118373,3,0.0
case_1_filter_reviews_sql,prov,7865.4896386627415,320.08037140501204,237.2006666666673,4.7714203685425165,1.4765636666666666,0.06500029949418175,3,1.0
case_2_topk_reviews_sql,baseline,11114.68313933195,850.5000956278438,375.2573333333332,21.34101312809132,1.5290053333333333,0.04554093210874517,2,0.0
case_2_topk_reviews_sql,prov,10760.89286133841,796.8232458650297,349.78233333333304,28.353804283258683,1.4701733333333333,0.005510107651701024,2,2.0
case_3_map_ticket_summary_sql,baseline,4165.611555668875,43.306601658285096,194.3053333333336,7.0130171348237385,1.1372176666666667,0.0448571514625409,4,0.0
case_3_map_ticket_summary_sql,prov,4278.0515693351235,28.364852077060483,192.1673333333338,3.7915419466661766,1.1299836666666667,0.030226200593745336,4,1.0
case_4_join_products_categories_sql,baseline,12938.376833000802,42.29233208667301,604.8386666666659,4.738929450132053,2.264431333333333,0.030211625400387437,6,0.0
case_4_join_products_categories_sql,prov,13054.745764001078,126.60348460423954,610.1176666666662,4.164067282516967,2.227574666666667,0.002859981876399346,6,1.0
case_5_filter_in_memory_movies,baseline,3851.518416670539,39.71936408173204,137.72166666666763,5.494287063244491,1.0503453333333332,0.01942756614538562,2,0.0
case_5_filter_in_memory_movies,prov,3757.0139863334284,107.0306542177933,141.03966666666778,3.9289286495604134,1.17492,0.09517910171355899,2,1.0
case_6_map_in_memory_sentiment,baseline,1386.2496943377967,83.82285341439362,131.29533333333399,2.1076684590652492,1.0498683333333334,0.003662750378244897,3,0.0
case_6_map_in_memory_sentiment,prov,1441.154638994097,4.522457459269302,135.63233333333358,0.1725697926425365,1.058816,0.004931228345960072,3,1.0
case_7_agg_in_memory_notes,baseline,3103.8478606642457,20.670783072618526,51.62766666666604,3.3591168978366936,0.7192090000000001,0.06870578605183111,1,0.0
case_7_agg_in_memory_notes,prov,3011.9985833298415,15.77938038334569,46.637666666666654,1.1665373261638894,0.697782,0.041523043831106575,1,1.0
case_8_join_in_memory_courses_skills,baseline,17745.180292006506,175.5515396784991,450.1490000000021,5.213489138762977,1.9457813333333334,0.11368590638391969,2,0.0
case_8_join_in_memory_courses_skills,prov,17572.887749993242,286.0008120392615,452.3813333333351,5.606693886179961,1.9600466666666667,0.13675421833469467,2,1.0
case_9_filter_then_map_pipeline,baseline,12472.234805662689,255.65875840475263,253.61999999999796,2.7187660804119105,1.420119,0.08152985001826032,2,0.0
case_9_filter_then_map_pipeline,prov,12254.862971662078,219.1824038546617,255.27600000000086,6.070700700907473,1.401319,0.05554504993246468,2,2.0
