case,baseline_wall_ms,baseline_cpu_ms,baseline_mem_mb,prov_wall_ms,prov_cpu_ms,prov_mem_mb,wall_overhead_ms,wall_overhead_pct,cpu_overhead_ms,cpu_overhead_pct,mem_overhead_mb,mem_overhead_pct
case_10_topk_in_memory_titles,2587.3876529997992,275.5476666666681,1.306018,2612.6838750011907,271.26800000000156,1.3497933333333334,25.29622200139147,0.9776742179341857,-4.279666666666515,-1.5531493038711364,0.0437753333333335,3.3518169989489808
case_1_filter_reviews_sql,7889.876027669136,232.6046666666667,1.4367640000000002,7865.4896386627415,237.2006666666673,1.4765636666666666,-24.386389006394893,-0.30908456509169296,4.5960000000006005,1.9758846913363444,0.039799666666666456,2.7700907502322196
case_2_topk_reviews_sql,11114.68313933195,375.2573333333332,1.5290053333333333,10760.89286133841,349.78233333333304,1.4701733333333333,-353.79027799353935,-3.1830891943430064,-25.475000000000136,-6.788674793830405,-0.058831999999999995,-3.847730201943921
case_3_map_ticket_summary_sql,4165.611555668875,194.3053333333336,1.1372176666666667,4278.0515693351235,192.1673333333338,1.1299836666666667,112.44001366624889,2.6992438484388237,-2.1379999999998063,-1.1003300647090506,-0.007233999999999963,-0.636113930695762
case_4_join_products_categories_sql,12938.376833000802,604.8386666666659,2.264431333333333,13054.745764001078,610.1176666666662,2.227574666666667,116.36893100027555,0.8994090410434123,5.279000000000337,0.8727947287321266,-0.036856666666666094,-1.6276345466573108
case_5_filter_in_memory_movies,3851.518416670539,137.72166666666763,1.0503453333333332,3757.0139863334284,141.03966666666778,1.17492,-94.50443033711053,-2.453692806662087,3.318000000000154,2.4092069754215366,0.12457466666666672,11.860353229858376
case_6_map_in_memory_sentiment,1386.2496943377967,131.29533333333399,1.0498683333333334,1441.154638994097,135.63233333333358,1.058816,54.90494465630036,3.960682183055638,4.336999999999591,3.3032400237628936,0.008947666666666576,0.852265601559552
case_7_agg_in_memory_notes,3103.8478606642457,51.62766666666604,0.7192090000000001,3011.9985833298415,46.637666666666654,0.697782,-91.84927733440418,-2.959206812242008,-4.989999999999384,-9.665360304228567,-0.021427000000000085,-2.9792452541611802
case_8_join_in_memory_courses_skills,17745.180292006506,450.1490000000021,1.9457813333333334,17572.887749993242,452.3813333333351,1.9600466666666667,-172.2925420132633,-0.9709258467826005,2.2323333333329742,0.49590987280499654,0.014265333333333352,0.733141647982371
case_9_filter_then_map_pipeline,12472.234805662689,253.61999999999796,1.420119,12254.862971662078,255.27600000000086,1.401319,-217.37183400061076,-1.742845908432696,1.656000000002905,0.6529453513141386,-0.018799999999999928,-1.3238327210606948
